"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NM_004542_130"	"NDUFA3"	3.42862339173222	2.95467450206851	36.4510591859342	4.82016434939937e-15	1.12782599892946e-12	25.0006254295713
"NM_001495_2849"	"GFRA2"	4.31736026232317	4.09323373208248	36.4269106459445	4.86372470376082e-15	1.12782599892946e-12	24.9916262920654
"NM_025021_747"	"CRTC1"	6.45717559808819	6.13963876781851	36.2461342017005	5.20353945558402e-15	1.14431640946462e-12	24.9240471536149
"NM_002089_495"	"CXCL2"	3.44155777183409	3.06115009963809	36.2404588854176	5.21461149960173e-15	1.14431640946462e-12	24.9219195058233
"NM_138791_525"	"NOXRED1"	3.81523593988869	3.61450942374529	36.2242008838792	5.2464695012145e-15	1.14431640946462e-12	24.9158224126544
"NM_000511_600"	"FUT2"	-5.17053993986195	-2.79752771495733	-36.1909051109784	5.3123667103732e-15	1.14431640946462e-12	24.9033263047439
"NM_020740_1835"	"ANKFY1"	9.46483436904272	9.44978412188193	36.1774067641275	5.33933425412972e-15	1.14431640946462e-12	24.8982566548045
"NM_178561_2391"	"CTAGE6"	7.17439667471822	6.89966503433015	35.9496585954853	5.8171754270791e-15	1.22811860322439e-12	24.8124020967197
"NM_021599_1055"	"ADAMTS2"	5.47846392765803	5.36501076450465	35.6223946293837	6.58581756737598e-15	1.36994690427255e-12	24.6879716757701
"NM_006276_2372"	"SRSF7"	-10.3705109639386	-9.70505391114645	-35.5632908022333	6.73589482011276e-15	1.38085843812312e-12	24.6653647166851
"NM_012133_2737"	"COPG2"	6.10558053834944	5.86162508472284	35.4791010438565	6.95603623640019e-15	1.38622586588785e-12	24.6330906795258
"NM_003795_1312"	"SNX3"	-7.64610148973149	-8.32340565828933	-35.4783330214982	6.95807963789587e-15	1.38622586588785e-12	24.6327958697174
"NM_018932_2713"	"PCDHB12"	3.6332399043728	3.81437761570551	35.3416222846325	7.33227316497297e-15	1.44048616553531e-12	24.5802060636968
"NM_016640_945"	"MRPS30"	5.77171066998428	5.43462286528157	35.2287224417159	7.6575657825244e-15	1.48378449306586e-12	24.5366062435558
"NM_017817_1366"	"RAB20"	3.3463481875502	3.22932883014782	35.1140106643045	8.00398204274037e-15	1.52995035127787e-12	24.4921485724563
"NM_153700_4786"	"STRC"	4.1784531126546	4.09599109513827	34.7903676844944	9.07512856155198e-15	1.7115692467087e-12	24.3658500592598
"NM_033201_1753"	"C16orf45"	3.11783061780126	2.72421887006968	34.7339017232283	9.27727476433969e-15	1.72667173081033e-12	24.3436823747167
"NM_002792_512"	"PSMA7"	-4.52743180197026	-3.73831418681911	-34.5423486944723	9.99979558988785e-15	1.83697543660992e-12	24.2681855064711
"NM_003142_1395"	"SSB"	3.40673782947074	3.293148361035	34.3843570535682	1.06411491522131e-14	1.90726293492199e-12	24.2055695789518
"NM_003648_6134"	"DGKD"	-3.30117253939561	-2.16993277856077	-34.3737320989906	1.06858349777186e-14	1.90726293492199e-12	24.2013473339578
"NM_017688_1114"	"BSPRY"	5.84139842758993	4.39300704186766	34.3265321651568	1.08867920810833e-14	1.90726293492199e-12	24.1825732695234
"NM_014331_2306"	"SLC7A11"	-4.66388402068346	-2.30297960490456	-34.2096274700396	1.14021781063799e-14	1.96687572335053e-12	24.1359516648169
"NM_138459_2086"	"NUS1"	-7.4647810125797	-7.61739304141457	-34.1287544292481	1.17739905686848e-14	1.98572705266432e-12	24.1035972869985
"NM_145345_253"	"UBXN11"	-3.83566625887236	-3.22983779278454	-34.1248582106355	1.1792228520594e-14	1.98572705266432e-12	24.102036432854
"NM_001957_3926"	"EDNRA"	-3.97138211343003	-3.59417992556711	-33.9663645044358	1.25604204156452e-14	2.0902017268153e-12	24.0383768953608
"NM_002519_5192"	"NPAT"	-4.9758682551755	-4.75503329581533	-33.9264621761214	1.27621601117574e-14	2.09907854396288e-12	24.022298810919
"NM_182577_1540"	"ODF3L2"	4.03317448610685	3.70293455458567	33.8300177815605	1.32642550588318e-14	2.1395351346208e-12	23.9833524253712
"NM_152512_2575"	"ENTHD1"	4.98655799737458	4.18164116858879	33.8213049967334	1.33106462952726e-14	2.1395351346208e-12	23.9798280389885
"NM_173859_623"	"BPIFA4P"	-9.5942467310315	-10.3465854018669	-33.707122169875	1.39349579862123e-14	2.2147188844379e-12	23.9335484230305
"NM_018313_3116"	"PBRM1"	-3.33379676735586	-2.96622197997855	-33.3802480967754	1.59022722093933e-14	2.47184220221833e-12	23.8001115155814
"NM_024067_1673"	"C7orf26"	-5.59117837210027	-5.35231181527958	-33.1550150692316	1.7430064926192e-14	2.67987248240202e-12	23.7073361682253
"NM_182597_1310"	"LSMEM1"	7.60428958724682	7.0753096399013	32.6383227365542	2.15625941986757e-14	3.2796010208631e-12	23.491894910012
"NM_006829_170"	"ADIRF"	-6.94993800275568	-5.77060388051875	-32.2685002680273	2.51604762877672e-14	3.7646546305122e-12	23.3354124118124
"NM_145175_2093"	"FAM84A"	-5.46294029395761	-6.52936006573923	-32.2252008531139	2.56220798003309e-14	3.7646546305122e-12	23.3169645622055
"NM_014043_428"	"CHMP2B"	-8.04179526987262	-8.77212842039835	-32.1975322213703	2.59217964091708e-14	3.7646546305122e-12	23.3051622393299
"NM_004481_3770"	"GALNT2"	5.82301829991261	5.76551783157202	32.1828428204994	2.60824428271612e-14	3.7646546305122e-12	23.2988918842519
"NM_003241_2829"	"TGM4"	-3.85520391644902	-3.07049799067989	-32.113218730166	2.68585205552753e-14	3.79913773254369e-12	23.2691299051822
