"ID"	"ID0"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"12251"	"NM_024847"	"NM_024847_2166"	4.14510126914078	-0.120672624144507	23.1200956474558	2.23805270239829e-19	1.88626397391761e-16	34.2741862708125
"7716"	"NM_001731"	"NM_001731_593"	1.43560348427542	-0.010454273626949	22.8122432716677	3.16392760042461e-19	2.5713691598308e-16	33.9376434195831
"3485"	"NM_002046"	"NM_002046_1E01"	-1.57987796121112	-0.0525636787421865	-22.6705094697645	3.71593469410663e-19	2.91585551376174e-16	33.7811459604539
"7620"	"NM_022469"	"NM_022469_1779"	4.31446925974153	-0.134150264881608	22.5925783425319	4.0610480526346e-19	3.08044031619177e-16	33.6946742588393
"13447"	"NM_014331"	"NM_014331_2306"	-2.0543971973626	-0.0464747558037907	-22.5405103912171	4.30997594211968e-19	3.16380040447985e-16	33.6367318138059
"22356"	"XM_031561"	"XM_031561_515"	2.02075762984753	0.117427389795859	22.51263561118	4.4496799554179e-19	3.16427865829656e-16	33.6056564857551
"17711"	"NM_016124"	"NM_016124_1431"	2.24110730680947	0.0121934849609201	22.4442181445873	4.81280609141761e-19	3.31879440655452e-16	33.5292184051259
"4867"	"BC014097"	"BC014097_1880"	-1.77277868418192	0.0172078621511917	-22.19804843464	6.3938381235053e-19	4.2793582452496e-16	33.2522345231252
"11992"	"NM_018261"	"NM_018261_3119"	2.1980173830466	0.0433005048529741	21.7209757068893	1.11783877259045e-18	7.16487200841494e-16	32.706563526709
"9706"	"NM_016932"	"NM_016932_2047"	-1.48949237478244	-0.00186120215571062	-21.6971234511845	1.14983185859478e-18	7.16487200841494e-16	32.6789684196052
"2576"	"NM_024672"	"NM_024672_1783"	4.39586402780636	0.00718401362198526	21.6860766085188	1.1649686426057e-18	7.16487200841494e-16	32.666177896933
"16415"	"NM_052949"	"NM_052949_2579"	-1.37451288652615	0.000504691294803973	-21.4914974407221	1.46820463497483e-18	8.79222754565451e-16	32.4398178540418
"20036"	"XM_353040"	"XM_353040_601"	2.0894093579417	0.0322498006634078	21.440678952808	1.56013050176164e-18	8.98610388891192e-16	32.3803642336143
"1161"	"AJ227900"	"AJ227900_429"	1.73634515519216	-0.0448731064935852	21.4303363076642	1.57955772348601e-18	8.98610388891192e-16	32.3682470615309
"12975"	"AK001117"	"AK001117_3643"	2.56896553510804	0.0669965746820258	21.2928498853668	1.86295033763536e-18	1.03398287520074e-15	32.2066196604276
"10336"	"XM_351038"	"XM_351038_345"	-1.37999980755843	-0.0091508446900197	-21.1941700397136	2.09842551078616e-18	1.13694692674881e-15	32.08997610193
"9497"	"XM_352892"	"XM_352892_1293"	2.37856316140472	0.00221621306153513	20.792814394772	3.42270369109685e-18	1.81132663243256e-15	31.6099869506172
"20888"	"NM_024790"	"NM_024790_1232"	4.7314302904234	-0.00349055537740582	20.7540318046708	3.58998813775472e-18	1.85667659233514e-15	31.5631258800052
"1692"	"XM_085870"	"XM_085870_650"	1.35924662123702	0.00292566658396863	20.7274970617627	3.70929854097179e-18	1.8757510577412e-15	31.531014575261
"7484"	"NM_020535"	"NM_020535_1482"	2.60709347613366	-0.0316860886997255	20.6156042330769	4.25935017339263e-18	2.10708201186354e-15	31.3951634528377
"7429"	"NM_002663"	"NM_002663_3386"	-1.44160722382356	0.042663352965416	-20.5954420335284	4.36711683158575e-18	2.11442788552267e-15	31.3706077367265
"4384"	"NM_022760"	"NM_022760_1558"	-2.82258861769233	-0.0425496506817189	-20.4386023248339	5.30798016267353e-18	2.51642492878748e-15	31.1787886592643
"12425"	"NM_152261"	"NM_152261_2978"	-2.45062094588643	-0.0816667614628345	-20.3249710911684	6.11898210616415e-18	2.71641805764397e-15	31.0389195146386
"10373"	"XM_351870"	"XM_351870_271"	-1.32749913035141	-0.00261063988188903	-20.3229169274392	6.13476968027207e-18	2.71641805764397e-15	31.0363840668164
"13222"	"XM_352800"	"XM_352800_3"	2.91105040840015	-0.14467892732783	20.3203831802394	6.15430122871692e-18	2.71641805764397e-15	31.0332563286772
"7326"	"NM_030633"	"NM_030633_1114"	-1.43041298114963	-0.0399302110976536	-20.3135471902242	6.20731846534919e-18	2.71641805764397e-15	31.0248158804732
"19746"	"BC051703"	"BC051703_3751"	2.78628333249381	-0.101949108662311	20.0858534257582	8.27219844779529e-18	3.5517386392081e-15	30.7420998576981
"4262"	"XM_058097"	"XM_058097_1879"	3.13051699183475	-0.124064149177125	20.0223737892004	8.96629096214595e-18	3.77846142841839e-15	30.6627290067768
"2826"	"AF194971"	"AF194971_829"	-2.46942765011414	-0.0381257284987067	-19.93612909329	1.00071374000931e-17	4.14040761230032e-15	30.5545052815161
"13494"	"NM_145029"	"NM_145029_1402"	2.52649322529359	0.0728556967310526	19.7102189237674	1.33693586689261e-17	5.25062966676664e-15	30.2688785486424
"3460"	"NM_080745"	"NM_080745_531"	2.62351063614993	-0.0179295838549942	19.7094454481974	1.33826911879269e-17	5.25062966676664e-15	30.2678952393258
"6784"	"NM_018168"	"NM_018168_2161"	4.21406398304751	0.0832771817596767	19.6373090256485	1.46886070024385e-17	5.6653210330083e-15	30.1760266736394
"16348"	"NM_021976"	"NM_021976_881"	-1.48949684649958	0.00574063214781313	-19.4878540236101	1.78309406100664e-17	6.65181777906016e-15	29.9846608353801
"2123"	"NM_153763"	"NM_153763_1857"	2.58624671053069	-0.182133638805941	19.4576109959712	1.85472601008319e-17	6.80744275571824e-15	29.9457669554195
"12005"	"NM_001892"	"NM_001892_1701"	2.33237552946547	0.0563603424554009	19.2672904730242	2.37935713761892e-17	8.46010172244625e-15	29.6996807321783
"175"	"NM_002040"	"NM_002040_1833"	1.62475478711883	-0.0274629191746832	19.2492660318972	2.43642469802093e-17	8.52973545048682e-15	29.6762556371486
"13336"	"NM_145308"	"NM_145308_354"	1.39867713939189	-0.0613416844461759	19.2252375392198	2.51471146106254e-17	8.67042030423322e-15	29.6449951971883
"3997"	"NM_020834"	"NM_020834_1288"	1.80082044834669	-0.00955362014879604	19.0483670755791	3.1772525855854e-17	1.07912775876987e-14	29.4137488983418
