ProbeID	SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B
NM_002510_2216	NM_002510_2216	GPNMB	-4.10386683701515	0.0816964964504558	-20.3317132176575	6.94272409212203e-12	3.75215666489795e-09	17.6754030747323
NM_006813_1019	NM_006813_1019	PNRC1	-2.20663851934559	0.131388097139897	-20.1428362057233	7.89162085694073e-12	4.17226563566953e-09	17.5519501520898
NM_013974_1192	NM_013974_1192	DDAH2	-1.48283926071756	-1.07665831978913	-20.1112038310189	8.06365101160396e-12	4.17251048089805e-09	17.5311478637607
NM_018931_3020	NM_018931_3020	PCDHB11	-1.45841825906656	0.737793767198661	-19.956134370446	8.96693842179496e-12	4.54324880037611e-09	17.4286378406956
NM_003017_157	NM_003017_157	SFRS3	2.75891944339912	-0.817369074196118	19.8891491328353	9.39003356946341e-12	4.66052278386429e-09	17.3840812523052
NM_024794_1377	NM_024794_1377	ABHD9	-2.58173352187912	0.527172677118464	-19.7784819507536	1.01364504674215e-11	4.93036950735382e-09	17.3101012564495
NM_006121_2065	NM_006121_2065	KRT1	-4.16508617293259	2.18786506370144	-19.6125016884835	1.13771873398319e-11	5.33877749837661e-09	17.1982782520629
NM_003368_3009	NM_003368_3009	USP1	1.23244123888197	-0.961632765242368	19.6077328931967	1.14151492563974e-11	5.33877749837661e-09	17.1950499605458
NM_138720_720	NM_138720_720	HIST1H2BD.2	-2.95786040255215	0.690551919419353	-19.5488747184112	1.18949929021878e-11	5.45823070530578e-09	17.1551335041918
NM_002875_579	NM_002875_579	RAD51	1.99287636865894	-0.81739077707914	19.4632709752702	1.2631723743637e-11	5.58784935872153e-09	17.0968408474663
NM_021063_16	NM_021063_16	HIST1H2BD.1	-2.37796649274323	0.437077819207999	-19.4461897790348	1.27844796362695e-11	5.58784935872153e-09	17.0851753525726
NM_003246_4784	NM_003246_4784	THBS1	3.07953610463231	2.09333593247424	19.4370794515721	1.2866758391793e-11	5.58784935872153e-09	17.0789488857729
NM_001069_1490	NM_001069_1490	TUBB2A	-1.71846882915442	0.581110738770303	-19.3081988227867	1.4093340290856e-11	6.01315852409858e-09	16.9905188683241
NM_005682_3327	NM_005682_3327	GPR56	-1.7968523452233	1.38127207501724	-19.2310215990645	1.48871754482123e-11	6.24234667069868e-09	16.9372529097788
NM_017816_329	NM_017816_329	LYAR	1.86890311002749	0.288188605486349	19.1671624973273	1.5580134892609e-11	6.38831225218853e-09	16.8930009190068
NM_000026_1392	NM_000026_1392	ADSL	1.52488250896819	-0.642773656768963	19.1281399104284	1.60204800832089e-11	6.38831225218853e-09	16.8658799959859
NM_001905_2423	NM_001905_2423	CTPS	1.33777435614928	-0.400234093980813	19.1278923167058	1.60233160930716e-11	6.38831225218853e-09	16.8657077232755
HSA293408_206	HSA293408_206	KRTDAP	-4.33508010121557	3.5216558319947	-19.053465931451	1.69006191339469e-11	6.62940415060625e-09	16.8138116896751
NM_017688_1114	NM_017688_1114	BSPRY	-1.54142276405741	0.472971140977863	-19.000236058804	1.75594661735958e-11	6.77851138637859e-09	16.7765592670614
NM_002956_5683	NM_002956_5683	CLIP1	-1.31559075136284	1.085594748382	-18.928178365244	1.84953963200146e-11	7.00448366526798e-09	16.7259482266227
NM_003851_1215	NM_003851_1215	CREG1	-2.13990731415688	0.220488600537821	-18.9012488383588	1.88587287661265e-11	7.00448366526798e-09	16.7069797564874
